,0,1
0,cg11722581,0.12694379
1,cg06238944,0.11130227
2,cg01263942,0.07393135
3,cg26706077,0.02995005
4,cg04337594,0.02887669
5,cg03590237,0.02596539
6,cg04042305,0.02161514
7,cg26549601,0.01988449
8,cg19548479,0.01889118
9,cg25161512,0.01584813
10,cg23541975,0.01349426
11,cg04943368,0.01132506
12,cg06372779,0.01114543
13,cg08377924,0.01035504
14,cg14517217,0.00994719
15,cg09885664,0.00903438
16,cg18252424,0.00899057
17,cg16623157,0.00891331
18,cg02901431,0.00878728
19,cg24425838,0.00808063
20,cg24940138,0.00794283
21,cg08703872,0.00725854
22,cg26039623,0.00579671
23,cg02676262,0.00536925
24,cg14537332,0.00522011
25,cg23206032,0.00519023
26,cg11435506,0.00481613
27,cg27377863,0.0045339
28,cg18368125,0.00416369
29,cg11991516,0.00416027
30,cg04933208,0.00394599
31,cg02573176,0.00382868
32,cg04714939,0.00364471
33,cg26016267,0.00346969
34,cg09184502,0.00326147
35,cg13630878,0.00321334
36,cg26884027,0.00317718
37,cg25228995,0.00313623
38,cg03301582,0.0029633
39,cg05230834,0.00242225
40,cg03880642,0.00234643
41,cg08523456,0.00233765
42,cg00842351,0.00230938
43,cg15927196,0.00226995
44,cg17315219,0.00212994
45,cg08167951,0.00206597
46,cg10329418,0.00201093
47,cg21540035,0.00199139
48,cg19277884,0.00183741
49,cg23230584,0.00183548
50,cg18801599,0.00177011
51,cg13711238,0.00171581
52,cg00740870,0.0017062
53,cg10419849,0.00169192
54,cg18104645,0.00168268
55,cg19921577,0.00164481
56,cg08264805,0.00163018
57,cg15002250,0.00159012
58,cg18561589,0.00157458
59,cg15200412,0.00156947
60,cg18586886,0.00156769
61,cg02379560,0.00156322
62,cg07707586,0.00151323
63,cg25572105,0.00147958
64,cg00870269,0.00146096
65,cg14528056,0.00144237
66,cg26457160,0.00140506
67,cg14418633,0.00137
68,cg04340430,0.0013568
69,cg16364495,0.0012978
70,cg26205890,0.00128651
71,cg27616751,0.00128473
72,cg08705647,0.00126828
73,cg19005335,0.00125443
74,cg10706013,0.001254
75,cg05327192,0.00120594
76,cg06557644,0.00119854
77,cg06368590,0.00119064
78,cg13606025,0.00117188
79,cg13544006,0.00116444
80,cg11316131,0.00115939
81,cg03001333,0.00113411
82,cg06892679,0.00112804
83,cg04465078,0.00110044
84,cg20033652,0.00109506
85,cg14327531,0.00107855
86,cg13058710,0.00104433
87,cg06327227,0.00102375
88,cg00698444,0.0009952
89,cg14003974,0.00097432
90,cg18469036,0.00094326
91,cg12689670,0.00093811
92,cg03958512,0.00092102
93,cg15500865,0.00091229
94,cg17673897,0.0009104
95,cg26267310,0.00090222
96,cg09533868,0.00090095
97,cg21157873,0.00089564
98,cg16748008,0.00088314
99,cg16209517,0.00087628
100,cg03778909,0.00087581
101,cg27413563,0.00086173
102,cg11065271,0.00086156
103,cg23735712,0.0008606
104,cg02506353,0.00085855
105,cg06875832,0.00084812
106,cg25718467,0.0008471
107,cg15876825,0.0008405
108,cg08828819,0.00082683
109,cg00518941,0.00082417
110,cg23109891,0.00079364
111,cg24396624,0.00079194
112,cg09828226,0.00078825
113,cg21853871,0.00078814
114,cg03216043,0.00078253
115,cg03238075,0.00077821
116,cg23125970,0.00077082
117,cg19817912,0.00076876
118,cg06394229,0.00075991
119,cg08860190,0.00075905
120,cg04115680,0.00075752
121,cg11501364,0.00074654
122,cg02382320,0.00074253
123,cg25570495,0.00073667
124,cg12845432,0.00071637
125,cg01484156,0.00071304
126,cg01806261,0.00070915
127,cg09109411,0.00070898
128,cg21304163,0.00070241
129,cg21410293,0.00069995
130,cg15958289,0.00069529
131,cg12892054,0.00068961
132,cg24683185,0.00068774
133,cg11588903,0.00068493
134,cg06614044,0.00067869
135,cg10547050,0.00066553
136,cg04319611,0.00065966
137,cg08170294,0.00065526
138,cg17738213,0.00065114
139,cg21616051,0.00064777
140,cg26540004,0.00064556
141,cg15536663,0.00064454
142,cg00904548,0.00064292
143,cg06675538,0.00064175
144,cg06786219,0.00063481
145,cg05020685,0.00062292
146,cg00423035,0.00061862
147,cg20294319,0.00061777
148,cg00431187,0.00061719
149,cg19794481,0.00061449
150,cg05098566,0.00060341
151,cg19737004,0.00059658
152,cg26988617,0.00059551
153,cg05206789,0.00059009
154,cg12496975,0.00058768
155,cg02806452,0.00057824
156,cg22798849,0.00057564
157,cg12219325,0.00057478
158,cg19430553,0.00057224
159,cg09658497,0.00057154
160,cg11064833,0.00056732
161,cg03452625,0.00056136
162,cg04917391,0.00055775
163,cg01819912,0.00055498
164,cg24296761,0.0005468
165,cg25374649,0.00053827
166,cg21105227,0.00053438
167,cg02448597,0.0005264
168,cg10821830,0.00052134
169,cg12755471,0.00051768
170,cg18750960,0.0005144
171,cg19053239,0.00051393
172,cg03458172,0.00051119
173,cg08290076,0.00051072
174,cg21959598,0.00050846
175,cg08154437,0.00050697
176,cg24638647,0.00050424
177,cg24288527,0.0005026
178,cg25264268,0.00050109
179,cg12550726,0.00050066
180,cg25385322,0.00049715
181,cg13972986,0.0004898
182,cg03127558,0.00048216
183,cg04398547,0.0004821
184,cg00010853,0.00048074
185,cg27052781,0.00047747
186,cg11430077,0.00047736
187,cg27649971,0.00047037
188,cg18222083,0.00046727
189,cg12219707,0.00046716
190,cg15600935,0.0004653
191,cg05617980,0.00046233
192,cg23900681,0.00046021
193,cg02914800,0.00045845
194,cg04420917,0.00045734
195,cg03730533,0.00045669
196,cg01765077,0.00045606
197,cg05652551,0.00045055
198,cg14824921,0.00044919
199,cg26297005,0.00044775
200,cg18648037,0.00044649
201,cg03221247,0.00044556
202,cg27280535,0.00044465
203,cg00249974,0.00044392
204,cg20298668,0.00044116
205,cg15299510,0.00044075
206,cg18430152,0.00044074
207,cg22416916,0.00043597
208,cg02744046,0.00043401
209,cg26753302,0.0004338
210,cg00260803,0.00042978
211,cg24747122,0.00042957
212,cg03113878,0.00042929
213,cg17583946,0.00042801
214,cg24580076,0.00042734
215,cg24004943,0.00042636
216,cg00989315,0.00042137
217,cg06122613,0.00041975
218,cg13805761,0.0004191
219,cg10754794,0.00041056
220,cg20869844,0.0004105
221,cg27262041,0.00040873
222,cg19717773,0.00040869
223,cg05374271,0.00040704
224,cg23684410,0.00040539
225,cg23151649,0.00040332
226,cg16210718,0.00040224
227,cg02927618,0.00040214
228,cg15744134,0.00040114
229,cg00501904,0.0004003
230,cg13982601,0.00039698
231,cg06106653,0.00039648
232,cg08190450,0.0003938
233,cg10226546,0.00039187
234,cg10180281,0.00038962
235,cg09837656,0.00038505
236,cg05664039,0.00037997
237,cg25296103,0.000379
238,cg19722698,0.00037818
239,cg21887193,0.00037774
240,cg14282850,0.00037392
241,cg25830307,0.00037376
242,cg20032056,0.00037344
243,cg03786842,0.00037256
244,cg23613051,0.0003715
