CancerTypes,cg00251716,cg01368075,cg02772121,cg04105511,cg04337594,cg06132620,cg06372779,cg06823060,cg06911354,cg07592254,cg08523456,cg10419849,cg10743291,cg11600734,cg14398860,cg14418633,cg15002250,cg15958289,cg18368125,cg18631798,cg19817912,cg20404260,cg20639396,cg24402880,cg24650915,cg25282976,cg25745246,cg26297005,cg26835683,cg27592331,sample_type
thyroid carcinoma,0.331602,0.466736,0.277431,0.244497,0.918595,0.847988,0.577046,0.872079,0.381084,0.818554,0.921779,0.941476,0.929595,0.579811,0.981513,0.742142,0.598436,0.636102,0.944939,0.221713,0.608671,0.341503,0.870446,0.707962,0.701171,0.776588,0.949327,0.434501,0.392613,0.810019,Metastatic
thyroid carcinoma,0.102353,0.17848,0.965757,0.148533,0.927454,0.906504,0.214871,0.931414,0.077474,0.942627,0.948526,0.951983,0.925935,0.80864,0.979532,0.952636,0.303573,0.892698,0.954245,0.0467658,0.259454,0.0965074,0.915277,0.806478,0.902158,0.956486,0.944499,0.205494,0.799418,0.933508,Metastatic
thyroid carcinoma,0.273514,0.306486,0.799219,0.153716,0.937734,0.815504,0.38356,0.925382,0.133675,0.931396,0.942988,0.953878,0.934507,0.889681,0.981638,0.879211,0.3536,0.863906,0.943087,0.226451,0.54117,0.249318,0.866922,0.704803,0.820579,0.875896,0.933547,0.55421,0.410972,0.891942,Metastatic
thyroid carcinoma,0.49101,0.502351,0.834482,0.384285,0.933643,0.685807,0.526953,0.881101,0.146121,0.923176,0.935984,0.95414,0.939254,0.430361,0.981373,0.780487,0.477655,0.649127,0.915151,0.349712,0.528108,0.42378,0.768428,0.6104,0.836702,0.888462,0.875557,0.441441,0.764011,0.633185,Metastatic
thyroid carcinoma,0.525134,0.495794,0.63641,0.164517,0.927038,0.632655,0.534821,0.915966,0.270791,0.949985,0.927907,0.935039,0.931839,0.782484,0.9776,0.912297,0.540822,0.545809,0.931308,0.360017,0.658647,0.395243,0.611771,0.387091,0.841181,0.849111,0.89509,0.526296,0.709793,0.529389,Metastatic
thyroid carcinoma,0.261242,0.257679,0.881817,0.189394,0.922809,0.919385,0.317983,0.879432,0.140946,0.881376,0.937672,0.960962,0.925071,0.9156,0.982301,0.764348,0.233471,0.835628,0.917608,0.136733,0.481354,0.228071,0.904403,0.800819,0.757789,0.865203,0.903337,0.183291,0.419816,0.88247,Metastatic
thyroid carcinoma,0.62408,0.501231,0.652719,0.204098,0.932698,0.581536,0.621139,0.917163,0.132382,0.908904,0.938284,0.947772,0.944748,0.740464,0.97432,0.937706,0.610699,0.610483,0.943476,0.437976,0.568361,0.429504,0.841051,0.332125,0.845753,0.846834,0.959106,0.596015,0.719352,0.594972,Metastatic
thyroid carcinoma,0.154234,0.162091,0.962905,0.52094,0.944368,0.924537,0.357203,0.920384,0.0826998,0.938177,0.944375,0.94509,0.914141,0.929753,0.97709,0.929389,0.112641,0.935568,0.946856,0.0818367,0.241998,0.189927,0.877388,0.390884,0.913661,0.859165,0.925003,0.176006,0.389723,0.922337,Metastatic
sarcoma,0.884207,0.82582,0.281643,0.531505,0.868683,0.415581,0.924019,0.901211,0.626318,0.531872,0.851674,0.925441,0.923302,0.503327,0.971714,0.450977,0.882257,0.278522,0.839123,0.503574,0.728479,0.674135,0.366708,0.317391,0.759895,0.73209,0.869523,0.712252,0.890994,0.591753,Metastatic
skin cutaneous melanoma,0.16169,0.304076,0.922027,0.887808,0.938585,0.907098,0.910734,0.573472,0.915847,0.54599,0.7744,0.947018,0.28056,0.915154,0.964319,0.931301,0.945553,0.443083,0.889526,0.931738,0.188785,0.870663,0.819846,0.851783,0.672092,0.940301,0.943281,0.911606,0.93813,0.919876,Metastatic
skin cutaneous melanoma,0.08979,0.141191,0.49348,0.918175,0.474858,0.81697,0.942625,0.789712,0.925938,0.543712,0.157162,0.936259,0.188635,0.912977,0.969909,0.965735,0.950131,0.0662346,0.798034,0.91642,0.105784,0.876296,0.796694,0.748042,0.599265,0.97163,0.938813,0.909382,0.572983,0.858158,Metastatic
skin cutaneous melanoma,0.343443,0.533443,0.930381,0.806124,0.862558,0.686829,0.948323,0.24112,0.797961,0.734893,0.761151,0.922562,0.564193,0.697727,0.980991,0.309787,0.941198,0.117399,0.933621,0.940854,0.34103,0.741128,0.817723,0.412443,0.720644,0.812655,0.921246,0.875443,0.766669,0.826814,Metastatic
skin cutaneous melanoma,0.143568,0.149591,0.950548,0.865981,0.87763,0.813785,0.902689,0.580712,0.816972,0.73465,0.923736,0.940345,0.469236,0.81225,0.972222,0.812815,0.946377,0.23758,0.928432,0.910298,0.13933,0.780541,0.783853,0.590643,0.821039,0.89379,0.918075,0.847648,0.787486,0.87762,Metastatic
skin cutaneous melanoma,0.224938,0.792467,0.538015,0.672712,0.502326,0.768326,0.927775,0.624292,0.782349,0.926756,0.365642,0.930218,0.452731,0.800412,0.96621,0.963094,0.906938,0.106619,0.880219,0.926789,0.247047,0.795979,0.819347,0.775237,0.71951,0.913341,0.934769,0.808507,0.848966,0.791345,Metastatic
skin cutaneous melanoma,0.325033,0.555794,0.707895,0.686985,0.934895,0.727805,0.913354,0.496496,0.692,0.942383,0.911311,0.949156,0.679897,0.894165,0.966053,0.548424,0.931861,0.329931,0.944664,0.950292,0.332692,0.804265,0.780286,0.712933,0.799004,0.943016,0.885829,0.666098,0.904653,0.668853,Metastatic
skin cutaneous melanoma,0.33058,0.669026,0.634128,0.527801,0.769662,0.601818,0.898361,0.742541,0.577062,0.669592,0.531454,0.93787,0.617596,0.842749,0.973601,0.514653,0.695686,0.316075,0.932875,0.594182,0.334272,0.630505,0.731149,0.717536,0.817984,0.75657,0.899973,0.616142,0.768596,0.561746,Metastatic
skin cutaneous melanoma,0.349496,0.494708,0.829381,0.738507,0.70274,0.72037,0.922368,0.881263,0.683299,0.918491,0.87243,0.964301,0.752098,0.863685,0.981121,0.841839,0.938873,0.279703,0.949265,0.959303,0.42848,0.813862,0.839544,0.622483,0.77286,0.947412,0.876673,0.946642,0.895613,0.802274,Metastatic
skin cutaneous melanoma,0.287006,0.467761,0.38954,0.455182,0.906534,0.840551,0.924419,0.701171,0.733228,0.728731,0.324569,0.941477,0.365261,0.807625,0.969431,0.506637,0.957383,0.0858745,0.943504,0.950019,0.268214,0.86576,0.889731,0.891391,0.865889,0.961008,0.906806,0.377845,0.860602,0.774732,Metastatic
skin cutaneous melanoma,0.138315,0.296644,0.0509458,0.899506,0.650435,0.867765,0.935872,0.378381,0.0735115,0.308402,0.21044,0.937212,0.293862,0.897656,0.974577,0.191567,0.910833,0.0832208,0.923579,0.946459,0.200754,0.852344,0.846829,0.782885,0.507607,0.967738,0.885023,0.216051,0.643083,0.0610426,Metastatic
skin cutaneous melanoma,0.433222,0.889453,0.866055,0.847078,0.447963,0.880679,0.947379,0.637653,0.916094,0.616566,0.932788,0.928724,0.489209,0.877961,0.979474,0.570424,0.957597,0.104956,0.941497,0.894617,0.225013,0.846446,0.866114,0.823232,0.862722,0.94866,0.947768,0.280195,0.815641,0.898648,Metastatic
